monitoringlocationidentifier,monitoringlocationname,latitudemeasure,longitudemeasure,activitystartdate,characteristicname,result_value,units,mcl_value,mcl_units,result_mg_l,exceedance_flag,is_proxy_unit
USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,29/06/2023,Arsenic,1.6,ug/L,0.01,mg/l,0.0016,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,12/06/2023,Arsenic,1.1,ug/L,0.01,mg/l,0.0011,0,
USGS-09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",34.29557035,-114.140225,24/05/2023,Arsenic,2.6,ug/L,0.01,mg/l,0.0026,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,26/06/2023,Arsenic,1.3,ug/L,0.01,mg/l,0.0013,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,27/06/2023,Arsenic,1.4,ug/L,0.01,mg/l,0.0014,0,
USGS-10260500,DEEP C NR HESPERIA CA,34.34305858,-117.2264316,27/04/2023,Arsenic,0.32,ug/L,0.01,mg/l,0.00032,0,
USGS-10260500,DEEP C NR HESPERIA CA,34.34305858,-117.2264316,20/06/2023,Arsenic,1.8,ug/L,0.01,mg/l,0.0018,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,23/05/2023,Arsenic,0.84,ug/L,0.01,mg/l,0.00084,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,20/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,19/04/2023,Arsenic,1.2,ug/L,0.01,mg/l,0.0012,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,13/06/2023,Arsenic,2.3,ug/L,0.01,mg/l,0.0023,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,28/06/2023,Arsenic,3.6,ug/L,0.01,mg/l,0.0036,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,10/05/2023,Arsenic,1.1,ug/L,0.01,mg/l,0.0011,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,31/05/2023,Arsenic,2.6,ug/L,0.01,mg/l,0.0026,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,09/05/2023,Arsenic,1.2,ug/L,0.01,mg/l,0.0012,0,
USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,13/04/2023,Arsenic,0.97,ug/L,0.01,mg/l,0.00097,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,16/06/2023,Arsenic,3.1,ug/L,0.01,mg/l,0.0031,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,19/04/2023,Arsenic,2.6,ug/L,0.01,mg/l,0.0026,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,27/04/2023,Arsenic,2.5,ug/L,0.01,mg/l,0.0025,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,15/02/2023,Arsenic,1.4,ug/L,0.01,mg/l,0.0014,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,3.7,ug/L,0.01,mg/l,0.0037,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,0.48,ug/L,0.01,mg/l,0.00048,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,14/02/2023,Arsenic,1.6,ug/L,0.01,mg/l,0.0016,0,
USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,21/02/2023,Arsenic,2.3,ug/L,0.01,mg/l,0.0023,0,
USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,11/01/2023,Arsenic,1.2,ug/L,0.01,mg/l,0.0012,0,
USGS-11147070,SANTA RITA C NR TEMPLETON CA,35.5238612,-120.7660077,02/03/2023,Arsenic,0.46,ug/L,0.01,mg/l,0.00046,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,22/03/2023,Arsenic,1.5,ug/L,0.01,mg/l,0.0015,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,22/03/2023,Arsenic,0.37,ug/L,0.01,mg/l,0.00037,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,22/02/2023,Arsenic,1.3,ug/L,0.01,mg/l,0.0013,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,21/03/2023,Arsenic,1.4,ug/L,0.01,mg/l,0.0014,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,21/03/2023,Arsenic,0.44,ug/L,0.01,mg/l,0.00044,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,22/03/2023,Arsenic,1.5,ug/L,0.01,mg/l,0.0015,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,22/03/2023,Arsenic,0.39,ug/L,0.01,mg/l,0.00039,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,01/03/2023,Arsenic,1.4,ug/L,0.01,mg/l,0.0014,0,
USGS-10260500,DEEP C NR HESPERIA CA,34.34305858,-117.2264316,08/02/2023,Arsenic,0.82,ug/L,0.01,mg/l,0.00082,0,
USGS-354052120562301,LAS TABLAS C NR LAKE NACIMIENTO CA,35.68117778,-120.9398556,01/03/2023,Arsenic,0.67,ug/L,0.01,mg/l,0.00067,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,09/01/2023,Arsenic,2.1,ug/L,0.01,mg/l,0.0021,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,09/01/2023,Arsenic,0.91,ug/L,0.01,mg/l,0.00091,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,28/03/2023,Arsenic,2.3,ug/L,0.01,mg/l,0.0023,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,27/02/2023,Arsenic,0.94,ug/L,0.01,mg/l,0.00094,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,11/01/2023,Arsenic,2.6,ug/L,0.01,mg/l,0.0026,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,09/01/2023,Arsenic,4,ug/L,0.01,mg/l,0.004,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,09/01/2023,Arsenic,0.67,ug/L,0.01,mg/l,0.00067,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,1.7,ug/L,0.01,mg/l,0.0017,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,0.46,ug/L,0.01,mg/l,0.00046,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,23/03/2023,Arsenic,1.2,ug/L,0.01,mg/l,0.0012,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,21/03/2023,Arsenic,0.7,ug/L,0.01,mg/l,0.0007,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,21/03/2023,Arsenic,0.44,ug/L,0.01,mg/l,0.00044,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,25/01/2023,Arsenic,1.7,ug/L,0.01,mg/l,0.0017,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,22/03/2023,Arsenic,0.71,ug/L,0.01,mg/l,0.00071,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,28/02/2023,Arsenic,2.1,ug/L,0.01,mg/l,0.0021,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,3.6,ug/L,0.01,mg/l,0.0036,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,0.51,ug/L,0.01,mg/l,0.00051,0,
USGS-09427520,"COLORADO RIVER BELOW PARKER DAM, AZ-CA",34.29557035,-114.140225,16/03/2023,Arsenic,2.7,ug/L,0.01,mg/l,0.0027,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,21/03/2023,Arsenic,0.9,ug/L,0.01,mg/l,0.0009,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,21/03/2023,Arsenic,0.4,ug/L,0.01,mg/l,0.0004,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,25/01/2023,Arsenic,0.5,ug/L,0.01,mg/l,0.0005,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,25/01/2023,Arsenic,0.44,ug/L,0.01,mg/l,0.00044,0,
USGS-10256000,WHITEWATER R A WHITE WATER CA,33.9466806,-116.6408473,20/03/2023,Arsenic,0.18,ug/L,0.01,mg/l,0.00018,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,14/03/2023,Arsenic,1.8,ug/L,0.01,mg/l,0.0018,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,15/02/2023,Arsenic,2.5,ug/L,0.01,mg/l,0.0025,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,11/01/2023,Arsenic,1.3,ug/L,0.01,mg/l,0.0013,0,
USGS-10256500,SNOW C NR WHITE WATER CA,33.8705722,-116.681127,20/03/2023,Arsenic,0.12,ug/L,0.01,mg/l,0.00012,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,12/01/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,09/01/2023,Arsenic,2.2,ug/L,0.01,mg/l,0.0022,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,09/01/2023,Arsenic,0.58,ug/L,0.01,mg/l,0.00058,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,31/01/2023,Arsenic,1.4,ug/L,0.01,mg/l,0.0014,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,25/01/2023,Arsenic,2,ug/L,0.01,mg/l,0.002,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,1.8,ug/L,0.01,mg/l,0.0018,0,
USGS-11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397,10/01/2023,Arsenic,0.46,ug/L,0.01,mg/l,0.00046,0,
USGS-11147098,PASO ROBLES C A GARCIA RD NR TEMPLETON CA,35.52613889,-120.7138583,22/02/2023,Arsenic,0.89,ug/L,0.01,mg/l,0.00089,0,
CWLT_WQX-DCC,Dead Cow Creek,39.66699868,-123.5080272,08/05/2023,Arsenic,0.001,mg/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-WC1,Wood Canyon,34.0143,-116.8205,13/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
SIR_WQX-SW-WBC-LR1,West Barry Creek LR1,40.431,-120.656,29/12/2023,Arsenic,0.0025,mg/L,0.01,mg/l,0.0025,0,
MORONGO1_WQX-M001,Millard 001,33.97742,-116.7972,19/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-M003,Millard 003,33.96146,-116.8,14/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
PPNPROGRAM-SS2,Williams Property,39.1054,-123.1254,20/11/2023,Arsenic,0.005,mg/L,0.01,mg/l,0.005,0,
CWLT_WQX-CCM,Middle Cahto Creek,39.671482,-123.498422,08/05/2023,Arsenic,0.001,mg/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-BC1,Bear Canyon Creek,33.96819,-116.8631,18/04/2023,Arsenic,2,ug/L,0.01,mg/l,0.002,0,
21NEV1_WQX-T1,Truckee River @ Farad,39.42257,-120.033882,27/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
MIDDLETOWNUPCW_WQX-SW-12,Rancheria Middle,38.72908,-122.62382,12/04/2023,Arsenic,0.001,mg/L,0.01,mg/l,0.001,0,
PPNPROGRAM-SS7,Pond #1,39.55,-123.4384,12/01/2023,Arsenic,0.01,mg/L,0.01,mg/l,0.01,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,05/09/2023,Arsenic,1.2,ug/L,0.01,mg/l,0.0012,0,
USGS-10257720,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,33.84385,-116.6058083,20/03/2023,Arsenic,0.05,mg/L,0.01,mg/l,0.05,1,
TABLEMOUNTAINRANCHERIA_WQX-BSW2,AREA B SURFACE WATER SAMPLING SITE 2,36.98596,-119.637,10/05/2023,Arsenic,2.4,ug/L,0.01,mg/l,0.0024,0,
SANPASQUAL-SW-03,Lower Woods Valley Creek,33.20488,-116.9888,17/01/2023,Arsenic,0,ug/L,0.01,mg/l,0,0,
GLEC-10124,Colorado River,33.25861,-114.67224,11/11/2023,Arsenic,0.0028,mg/L,0.01,mg/l,0.0028,0,
21NEV1_WQX-T1,Truckee River @ Farad,39.42257,-120.033882,25/01/2023,Arsenic,2,ug/L,0.01,mg/l,0.002,0,
TABLEMOUNTAINRANCHERIA_WQX-BSW3,AREA B SURFACE WATER SAMPLING SITE 3,36.98345,-119.6411,10/05/2023,Arsenic,2.1,ug/L,0.01,mg/l,0.0021,0,
SANPASQUAL-SW-07,Lower Paradise Creek,33.2147,-116.9648,03/04/2023,Arsenic,0.62,ug/L,0.01,mg/l,0.00062,0,
21NEV1_WQX-W5,West Fork Walker River @ Topaz Lane,38.6106415,-119.5175018,15/05/2023,Arsenic,5,ug/L,0.01,mg/l,0.005,0,
OVIWC-LP-SS-5,LP-SS-5 SAR Downstream,36.59391,-118.06009,07/06/2023,Arsenic,0.01,mg/L,0.01,mg/l,0.01,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,16/08/2023,Arsenic,8.7,ug/L,0.01,mg/l,0.0087,0,
BVR-BVRST01,BVRST01,38.27726944,-120.9113556,06/09/2023,Arsenic,0.011,mg/L,0.01,mg/l,0.011,1,
SYCEO_WQX-ZDC-7,Zanja de Cota Creek Downstream,34.5934167,-120.0937167,05/01/2023,Arsenic,0.00474,mg/L,0.01,mg/l,0.00474,0,
GLEC-10065,Colorado River,34.71448,-114.47841,21/09/2023,Arsenic,0.0031,mg/L,0.01,mg/l,0.0031,0,
OVIWC-LP-SS-2,LP-SS-2 LPPSR Irrigation Intake,36.59634,-118.006635,07/06/2023,Arsenic,0.033,mg/L,0.01,mg/l,0.033,1,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,13/02/2023,Arsenic,14,ug/L,0.01,mg/l,0.014,1,
MORONGO1_WQX-M003,Millard 003,33.96146,-116.8,19/04/2023,Arsenic,2.7,ug/L,0.01,mg/l,0.0027,0,
SYCEO_WQX-ZDC-3,Zanja de Cota Creek Mid-point,34.6066167,-120.0898667,05/01/2023,Arsenic,0.0049,mg/L,0.01,mg/l,0.0049,0,
SOBOBA_WQX-IC2,Indian Creek 2nd Crossing,33.46397,-116.5096,12/10/2023,Arsenic,3.5,ug/L,0.01,mg/l,0.0035,0,
SYCEO_WQX-ZDC-3,Zanja de Cota Creek Mid-point,34.6066167,-120.0898667,05/01/2023,Arsenic,0.0049,mg/L,0.01,mg/l,0.0049,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,20/06/2023,Arsenic,2.4,ug/L,0.01,mg/l,0.0024,0,
SYCEO_WQX-ZDC-8,Zanja de Cota Creek East Fork Upstream,34.60745,-120.0887167,05/01/2023,Arsenic,0.003,mg/L,0.01,mg/l,0.003,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,01/11/2023,Arsenic,20,ug/L,0.01,mg/l,0.02,1,
SIR_WQX-SW-WBC-LR2,West Barry Creek LR2,40.429,-120.656,27/06/2023,Arsenic,0.014,mg/L,0.01,mg/l,0.014,1,
GLEC-10065,Colorado River,34.71448,-114.47841,21/09/2023,Arsenic,0.0032,mg/L,0.01,mg/l,0.0032,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,11/10/2023,Arsenic,4,ug/L,0.01,mg/l,0.004,0,
MORONGO1_WQX-WC1,Wood Canyon,34.0143,-116.8205,13/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
OVIWC-LP-SS-4,LP-SS-4 SAR Upstream,36.59682,-118.06322,07/06/2023,Arsenic,0.01,mg/L,0.01,mg/l,0.01,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,11/10/2023,Arsenic,5,ug/L,0.01,mg/l,0.005,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,26/04/2023,Arsenic,10,ug/L,0.01,mg/l,0.01,0,
MORONGO1_WQX-HE1,Hathaway East,33.97434,-116.8605,13/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
OVIWC-LP-SS-1,LP-SS-1 Lone Pine Creek - Sandtrap Diversion,36.59846,-118.07673,07/06/2023,Arsenic,0.001,mg/L,0.01,mg/l,0.001,0,
SIR_WQX-SW-WBC-LR1,West Barry Creek LR1,40.431,-120.656,29/06/2023,Arsenic,0.0025,mg/L,0.01,mg/l,0.0025,0,
BVR-BVRST01,BVRST01,38.27726944,-120.9113556,13/12/2023,Arsenic,0.005,mg/L,0.01,mg/l,0.005,0,
MORONGO1_WQX-WC1,Wood Canyon,34.0143,-116.8205,18/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,14/12/2023,Arsenic,0.5,ug/L,0.01,mg/l,0.0005,0,
GLEC-10065,Colorado River,34.71448,-114.47841,12/11/2023,Arsenic,0.0034,mg/L,0.01,mg/l,0.0034,0,
21NEV1_WQX-T1,Truckee River @ Farad,39.42257,-120.033882,25/01/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
21NEV1_WQX-T1,Truckee River @ Farad,39.42257,-120.033882,27/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
SYCEO_WQX-ZDC-5,Zanja de Cota Creek West Fork Upstream,34.6096333,-120.0870333,05/01/2023,Arsenic,0.00387,mg/L,0.01,mg/l,0.00387,0,
SANPASQUAL-SW-06,Upper Paradise Creek,33.21712,-116.963,17/01/2023,Arsenic,0,ug/L,0.01,mg/l,0,0,
MORONGO1_WQX-WC1,Wood Canyon,34.0143,-116.8205,18/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-M003,Millard 003,33.96146,-116.8,19/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-LMO,Lake Morongo Out,33.99055,-116.8423,19/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
OVIWC-LP-SS-3,LP-SS-3 LA Aqueduct Diversion,36.60029,-118.07224,07/06/2023,Arsenic,0.034,mg/L,0.01,mg/l,0.034,1,
SIR_WQX-SW-WBC-LR2,West Barry Creek LR2,40.429,-120.656,27/09/2023,Arsenic,0.0025,mg/L,0.01,mg/l,0.0025,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,23/01/2023,Arsenic,22,ug/L,0.01,mg/l,0.022,1,
MIDDLETOWNUPCW_WQX-SW-61,Upstream St Helena,38.73226,-122.61851,27/06/2023,Arsenic,0.001,mg/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-BC1,Bear Canyon Creek,33.96819,-116.8631,18/04/2023,Arsenic,10,ug/L,0.01,mg/l,0.01,0,
GLEC-10124,Colorado River,33.25861,-114.67224,14/09/2023,Arsenic,0.000125,mg/L,0.01,mg/l,0.000125,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,16/08/2023,Arsenic,7.8,ug/L,0.01,mg/l,0.0078,0,
SANPASQUAL-SW-03,Lower Woods Valley Creek,33.20488,-116.9888,03/04/2023,Arsenic,1.5,ug/L,0.01,mg/l,0.0015,0,
TEPA29-SW-1D,Surface Water Site # 1D,33.71675,-116.195,23/05/2023,Arsenic,0.01,mg/L,0.01,mg/l,0.01,0,
SOBOBA_WQX-IC2,Indian Creek 2nd Crossing,33.46397,-116.5096,12/10/2023,Arsenic,3.5,ug/L,0.01,mg/l,0.0035,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,01/11/2023,Arsenic,19,ug/L,0.01,mg/l,0.019,1,
SYCEO_WQX-ZDC-8,Zanja de Cota Creek East Fork Upstream,34.60745,-120.0887167,05/01/2023,Arsenic,0.003,mg/L,0.01,mg/l,0.003,0,
MORONGO1_WQX-LMO,Lake Morongo Out,33.99055,-116.8423,14/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
PPNPROGRAM-SS9,Orr Springs Bridge,39.180632,-123.23418,23/10/2023,Arsenic,0.005,mg/L,0.01,mg/l,0.005,0,
SYCEO_WQX-ZDC-7,Zanja de Cota Creek Downstream,34.5934167,-120.0937167,05/01/2023,Arsenic,0.00474,mg/L,0.01,mg/l,0.00474,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,27/03/2023,Arsenic,12,ug/L,0.01,mg/l,0.012,1,
MORONGO1_WQX-H000,Hathaway 000,33.96822,-116.863,13/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
MORONGO1_WQX-M001,Millard 001,33.97742,-116.7972,14/12/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
BVR-BVRST01,BVRST01,38.27726944,-120.9113556,15/03/2023,Arsenic,0.005,mg/L,0.01,mg/l,0.005,0,
MORONGO1_WQX-H000,Hathaway 000,33.96822,-116.863,18/04/2023,Arsenic,1,ug/L,0.01,mg/l,0.001,0,
21NEV1_WQX-EFS,East Fork Walker River @ Stateline,38.3835297,-119.1857986,15/05/2023,Arsenic,5,ug/L,0.01,mg/l,0.005,0,
GLEC-10124,Colorado River,33.25861,-114.67224,14/09/2023,Arsenic,0.0031,mg/L,0.01,mg/l,0.0031,0,
SOBOBA_WQX-IC2,Indian Creek 2nd Crossing,33.46397,-116.5096,16/11/2023,Arsenic,3.2,ug/L,0.01,mg/l,0.0032,0,
CWLT_WQX-CCL,Lower Cahto Creek,39.672445,-123.495684,08/05/2023,Arsenic,0.001,mg/L,0.01,mg/l,0.001,0,
